bin_x,bin_y,nbins,count_bytes_per_thread,count_bytes_per_socket,sort_ms,sort_gcycles,reps
4,1,8395506,33582024,1074624768,305.0,88.10,6
8,2,2100325,8401300,268841600,168.5,42.56,6
16,4,525987,2103948,67326336,63.2,21.22,6
32,8,131950,527800,16889600,46.7,13.86,6
48,12,58443,233772,7480704,37.7,11.27,6
64,16,33033,132132,4228224,26.0,8.02,6
96,24,14762,59048,1889536,18.6,5.70,6
128,32,8372,33488,1071616,19.0,5.39,6
192,48,3751,15004,480128,22.6,4.99,6
256,64,2093,8372,267904,17.0,4.90,6
384,96,976,3904,124928,20.6,4.74,6
512,128,552,2208,70656,17.9,5.02,9
128,512,552,2208,70656,17.4,4.84,3
2048,32,546,2184,69888,16.7,4.99,3
1024,64,546,2184,69888,18.8,5.04,3
256,256,529,2116,67712,18.0,5.04,3
512,192,372,1488,47616,17.7,4.92,3
768,192,248,992,31744,21.7,4.99,6
4096,64,182,728,23296,20.9,4.64,3
512,512,144,576,18432,16.0,4.50,3
1024,256,138,552,17664,17.0,4.80,9
2048,128,138,552,17664,18.4,5.08,3
256,1024,138,552,17664,19.6,4.82,3
