dim,density,nthreads,max_sp,M,N_total,gather_ms,spread_ms,add_ms,gather_cycles,spread_cycles,add_cycles
3,0.125,all,10000,26843545,214748360,88.1,172.48,723.42,1.1848e+10,2.3196e+10,9.7288e+10
3,0.125,all,21112,26843545,214748360,81.98,156.34,610.68,1.2004e+10,2.2893e+10,8.9422e+10
3,0.125,all,44572,26843545,214748360,89.39,167.5,578.1,1.2951e+10,2.4267e+10,8.3752e+10
3,0.125,all,94101,26843545,214748360,109.84,182.33,576.83,1.3884e+10,2.3046e+10,7.2911e+10
3,0.125,all,198668,26843545,214748360,120.48,150.89,396.63,1.5055e+10,1.8856e+10,4.9563e+10
3,0.125,all,419430,26843545,214748360,144.75,162.76,291.49,1.5558e+10,1.7493e+10,3.1329e+10
3,16,all,10000,26843545,1677721,26.07,79.0,11.93,4.5305e+09,1.3728e+10,2.0728e+09
3,16,all,21112,26843545,1677721,29.19,85.55,9.26,5.0047e+09,1.4670e+10,1.5875e+09
3,16,all,44572,26843545,1677721,49.85,91.34,5.81,8.5606e+09,1.5686e+10,9.9816e+08
3,16,all,94101,26843545,1677721,63.25,101.11,4.64,1.0254e+10,1.6392e+10,7.5291e+08
3,16,all,198668,26843545,1677721,84.27,123.64,4.09,1.2232e+10,1.7946e+10,5.9395e+08
3,16,all,419430,26843545,1677721,104.15,142.75,3.1,1.5737e+10,2.1568e+10,4.6850e+08
3,1,1,10000,26843545,26843545,935.94,4320.17,373.9,3.1321e+09,1.4458e+10,1.2513e+09
3,1,1,48503,26843545,26843545,939.58,3502.28,268.14,3.1918e+09,1.1897e+10,9.1088e+08
3,1,1,235253,26843545,26843545,949.12,3443.7,227.18,3.2374e+09,1.1746e+10,7.7490e+08
3,1,1,1141048,26843545,26843545,963.24,3395.59,101.17,3.3248e+09,1.1720e+10,3.4921e+08
3,1,1,5534417,26843545,26843545,955.43,3459.84,74.73,3.2534e+09,1.1781e+10,2.5446e+08
3,1,1,26843545,26843545,26843545,995.9,3564.64,69.46,3.2878e+09,1.1768e+10,2.2929e+08
