max_sp,spread_ms,spread_sd,gather_ms,gather_sd,add_wrapped_ms,add_wrapped_sd,kernel_ms,barrier_ms
512,94.5840,0.8812,24.6967,0.2220,31.2331,0.5596,22.9833,14.8744
1024,79.5715,1.1155,27.1731,0.5735,12.9047,0.4428,23.6109,15.1463
2048,75.5827,0.3597,30.6336,0.9959,8.0090,0.0458,21.7005,14.5020
2078,75.6528,0.2477,30.8100,0.0462,8.0829,0.3288,21.5637,14.4236
4096,77.1495,2.4752,30.5515,1.4174,7.1303,0.6347,21.5750,17.1389
8192,80.4010,0.7136,30.4401,0.4797,6.4551,0.3011,27.7690,14.9648
12288,85.2443,0.7647,30.5417,0.8041,5.8472,0.1272,33.4208,14.5999
16384,86.6514,0.6567,33.5713,1.5248,5.0401,0.3667,29.9051,17.3256
24576,89.3557,2.6904,37.6038,2.4777,4.8469,0.6615,26.4459,19.5165
32768,89.1833,1.3981,43.0151,1.8795,4.6410,0.2071,24.3797,16.1155
49152,96.8363,0.9506,53.1187,0.3469,3.5896,0.2874,22.9603,15.9074
65536,102.6035,0.6880,58.8607,1.7116,3.1927,0.1441,22.4302,16.7862
100000,104.7774,0.6139,61.5063,1.1948,2.4448,0.0644,22.3469,17.0992
150000,110.0765,3.7472,61.4295,4.0737,1.7205,0.1011,22.2814,23.1463
250000,120.9372,4.1257,70.5661,1.2256,1.2611,0.1469,23.9617,23.2613
400000,130.8116,1.1514,77.7358,1.3281,1.0738,0.0664,27.0436,22.1162
