max_sp,spread_ms,spread_sd,gather_ms,gather_sd,add_wrapped_ms,add_wrapped_sd,kernel_ms,barrier_ms
512,1361.0512,4.1772,47.0856,1.3271,1007.2188,9.9207,53.8190,63.9954
1024,1380.8549,8.4771,43.1683,0.1190,1036.5284,5.0613,66.0303,63.2811
2048,1321.7693,17.5178,52.3453,2.2407,922.4743,5.6610,75.4999,62.5251
2078,1310.1939,13.1366,52.0463,0.1983,928.3609,8.4401,75.3098,63.4042
4096,1252.8903,24.8106,64.8517,0.9041,834.9679,6.8217,72.4707,67.1626
8192,1160.5623,4.0432,92.2902,0.8283,686.7660,9.6923,109.0583,70.3600
12288,1110.5380,19.2479,112.6098,3.0371,589.6758,6.0415,123.5035,78.9976
16384,1042.7888,2.2464,134.2412,2.7004,490.0512,6.6281,162.1756,79.4595
24576,1025.6087,1.0093,155.6422,4.1025,434.3854,3.4469,166.1391,95.0651
32768,999.6009,11.5368,171.8274,0.6854,394.2192,1.6732,180.2131,93.4479
49152,979.8510,5.1451,180.9184,2.5817,346.7767,7.6102,190.4363,103.3698
65536,968.2372,5.0005,193.3446,2.2011,317.2532,3.0019,196.2593,107.3122
81920,968.3065,12.6198,196.8061,1.5615,301.8692,5.4460,208.0993,106.3256
100000,972.9960,5.2010,205.1467,4.5228,294.1374,2.9055,205.3607,113.9635
150000,995.7001,4.2573,213.9159,1.1848,270.2138,1.9184,220.1115,123.0249
250000,1013.4407,7.0560,233.8587,4.0898,254.6512,1.7374,233.2420,129.0028
400000,1039.7757,8.7946,227.0158,1.0676,253.2556,5.2843,239.3790,140.2929
