thread,busy_ms,nsub,npts
0,536.1308,1,838861
1,544.7764,1,838861
2,548.6515,1,838861
3,546.5134,1,838861
4,540.8457,1,838861
5,516.6429,1,838861
6,542.3189,1,838861
7,548.8900,1,838861
8,549.0900,1,838861
9,548.5169,1,838861
10,545.8475,1,838861
11,542.3891,1,838861
12,576.3392,1,838861
13,547.9598,1,838861
14,533.4210,1,838861
15,546.4770,1,838861
16,549.6058,1,838861
17,547.8345,1,838861
18,537.3969,1,838861
19,542.3552,1,838861
20,543.0118,1,838861
21,542.3862,1,838861
22,531.6995,1,838861
23,528.5589,1,838861
24,546.7015,1,838861
25,535.6941,1,838861
26,542.1380,1,838861
27,541.9945,1,838861
28,547.3243,1,838861
29,547.6559,1,838861
30,548.7935,1,838861
31,545.9044,1,838861
32,571.5540,1,838861
33,544.4897,1,838861
34,550.9548,1,838861
35,544.5633,1,838861
36,547.6366,1,838861
37,536.7860,1,838861
38,542.3478,1,838861
39,548.2307,1,838861
