max_sp,gather_ms,gather_sd,spread_ms,spread_sd,add_ms,add_sd,total_ms,nsub,subgrid_cells,cells_written,write_amplification,fb_full_gather,dtlb_walks_total,stalls_l2_gather,stalls_l3_gather,gather_cycles,spread_cycles,add_cycles
10000,38.27,1.38,22.12,0.81,52.27,1.58,112.67,3355,53327,178934987,5.332,1.4451e+10,6.7592e+07,3.1854e+10,3.1700e+10,7.3504e+09,4.2478e+09,1.0038e+10
20000,54.92,1.16,17.27,0.2,41.15,0.94,113.33,1678,82659,138678406,4.132,1.6561e+10,9.7611e+07,3.5650e+10,3.4325e+10,1.0147e+10,3.1903e+09,7.6025e+09
40000,65.39,0.86,17.27,0.18,28.67,0.36,111.33,839,103854,87118719,2.596,1.8420e+10,9.5096e+07,3.7874e+10,3.7057e+10,1.1909e+10,3.1457e+09,5.2222e+09
80000,81.59,1.61,22.49,0.18,23.59,0.38,127.67,419,143907,60359060,1.799,1.8596e+10,1.0906e+08,3.7856e+10,3.7325e+10,1.1653e+10,3.2118e+09,3.3678e+09
96000,82.59,1.97,20.95,0.3,21.13,0.53,124.67,350,159929,55899116,1.666,1.9536e+10,1.0900e+08,3.9450e+10,3.8286e+10,1.2848e+10,3.2613e+09,3.2927e+09
113000,85.0,1.13,21.08,0.57,19.59,0.32,125.67,297,176951,52544292,1.566,1.9804e+10,1.0914e+08,3.9758e+10,3.8757e+10,1.3189e+10,3.2668e+09,3.0383e+09
160000,94.84,0.53,22.86,0.93,18.96,0.61,136.67,210,224014,46979230,1.4,1.9158e+10,1.0880e+08,3.9231e+10,3.7543e+10,1.3309e+10,3.2047e+09,2.6590e+09
190000,94.71,1.93,24.28,0.41,19.34,0.24,138.33,177,254055,44866625,1.337,1.8825e+10,1.0954e+08,3.7689e+10,3.7199e+10,1.2462e+10,3.1953e+09,2.5451e+09
226000,98.84,3.59,25.72,1.25,18.44,0.97,143.0,148,290103,43071846,1.283,1.8721e+10,1.0882e+08,3.8168e+10,3.6854e+10,1.2568e+10,3.2661e+09,2.3404e+09
270000,110.05,2.8,32.08,1.76,22.54,2.14,164.67,124,334162,41528188,1.237,1.7492e+10,1.0808e+08,3.6151e+10,3.5266e+10,1.0821e+10,3.1510e+09,2.2121e+09
320000,116.18,2.43,32.7,1.68,22.45,1.24,171.33,105,384229,40289315,1.201,1.8571e+10,1.0684e+08,3.7255e+10,3.7244e+10,1.1286e+10,3.1723e+09,2.1777e+09
380000,125.4,4.63,34.12,1.23,21.81,1.43,181.33,88,444309,39233013,1.169,1.8597e+10,1.0745e+08,3.7916e+10,3.6904e+10,1.1632e+10,3.1649e+09,2.0218e+09
453000,139.38,9.89,34.82,1.66,21.13,0.71,195.33,74,517407,38325168,1.142,1.8765e+10,1.0771e+08,3.8434e+10,3.6181e+10,1.2363e+10,3.0882e+09,1.8787e+09
524288,146.72,3.22,38.32,4.34,22.29,3.28,207.33,64,588791,37682600,1.123,1.9713e+10,1.0862e+08,3.7575e+10,3.7330e+10,1.2184e+10,3.1546e+09,1.8309e+09
