max_sp,nsub,rep,phase_ms,gather_ms,spread_ms,add_ms,free_ms,gather_cyc,spread_cyc,add_cyc,free_cyc,max_busy_ms,mean_busy_ms,min_busy_ms
500,67109,1,378,126.448,54.447,181.467,0.001,1.1102e10,4.7810e9,1.5933e10,6.8677e4,375.923,374.291,373.903
500,67109,2,374,122.954,54.588,181.640,0.001,1.0795e10,4.7934e9,1.5948e10,6.7689e4,372.147,370.962,370.660
1000,33555,1,369,134.565,54.975,164.345,0.004,1.1816e10,4.8269e9,1.4430e10,3.3723e5,367.050,364.983,364.380
1000,33555,2,367,133.586,55.283,163.948,0.001,1.1728e10,4.8535e9,1.4395e10,6.6712e4,365.233,363.872,363.447
2000,16778,1,363,140.554,54.975,151.793,0.010,1.2340e10,4.8254e9,1.3327e10,8.6273e5,361.267,359.821,359.219
2000,16778,2,364,141.677,54.810,152.496,0.016,1.2439e10,4.8112e9,1.3389e10,1.4306e6,362.115,360.681,360.115
4000,8389,1,392,168.493,57.129,150.614,0.014,1.4795e10,5.0144e9,1.3225e10,1.2525e6,390.496,388.667,387.710
4000,8389,2,386,163.467,56.699,149.295,0.011,1.4352e10,4.9763e9,1.3108e10,9.9374e5,384.150,381.781,380.818
8000,4195,1,473,236.388,70.511,145.684,0.032,2.0755e10,6.1897e9,1.2791e10,2.7810e6,471.291,468.668,467.010
8000,4195,2,473,239.237,70.720,143.234,0.039,2.1004e10,6.2069e9,1.2576e10,3.4107e6,471.544,469.626,468.070
10000,3356,1,489,256.968,74.953,135.503,0.048,2.2561e10,6.5790e9,1.1897e10,4.2011e6,487.882,484.634,482.068
10000,3356,2,494,260.170,75.460,137.472,0.032,2.2841e10,6.6234e9,1.2070e10,2.8222e6,493.003,490.894,488.371
20000,1678,1,515,288.900,83.235,121.938,0.051,2.5364e10,7.3082e9,1.0706e10,4.4931e6,513.842,510.383,506.788
20000,1678,2,504,283.949,79.833,120.162,0.044,2.4930e10,7.0088e9,1.0550e10,3.8853e6,502.744,499.254,494.128
40000,839,1,517,311.061,92.222,86.721,0.073,2.7310e10,8.0966e9,7.6138e9,6.4246e6,515.208,508.771,500.030
40000,839,2,508,309.865,87.297,84.064,0.063,2.7205e10,7.6642e9,7.3806e9,5.5435e6,506.226,499.686,490.476
80000,420,1,523,313.031,104.116,69.229,0.441,2.7483e10,9.1410e9,6.0781e9,3.8733e7,521.142,510.460,487.000
80000,420,2,525,315.288,102.541,68.759,0.465,2.7681e10,9.0028e9,6.0371e9,4.0897e7,523.316,511.296,491.550
160000,210,1,520,299.607,110.583,55.803,0.750,2.6304e10,9.7088e9,4.8993e9,6.5864e7,518.264,490.254,462.413
160000,210,2,529,292.817,119.582,60.505,1.769,2.5708e10,1.0499e10,5.3121e9,1.5531e8,526.812,497.466,480.625
320000,105,1,534,283.108,109.503,50.812,4.021,2.4856e10,9.6140e9,4.4612e9,3.5301e8,527.134,475.345,409.943
320000,105,2,535,280.333,112.094,51.663,6.294,2.4612e10,9.8416e9,4.5359e9,5.5259e8,526.099,474.357,409.403
524288,64,1,556,270.053,101.873,44.488,12.137,2.3710e10,8.9441e9,3.9059e9,1.0656e9,552.888,448.621,348.785
524288,64,2,559,270.273,101.820,44.151,16.498,2.3729e10,8.9395e9,3.8763e9,1.4484e9,553.822,448.650,351.921
838861,40,1,623,321.748,134.419,51.632,55.486,2.8248e10,1.1802e10,4.5331e9,4.8715e9,554.144,549.014,531.788
838861,40,2,620,322.393,134.166,50.624,52.446,2.8305e10,1.1779e10,4.4446e9,4.6046e9,555.441,548.985,526.356
