trial,time_s,spread_max_sp_size,spread_sort,upsampfac,spread_nthr_atomic,spread_bin_size_x,spread_bin_size_y
0,8.0,31077,0,1.659,100,104,833
1,1.945,417581,1,1.647,100,6,1
2,8.0,1134,0,1.903,1,126,330
3,8.0,2096,0,1.958,1,27,313
4,8.0,17395,0,1.713,100,5295,145
5,2.365,9497,1,1.295,100,18,1
6,2.965,7206,1,1.579,1,18,2
7,0.583,59717,1,1.433,1,569,2
8,2.48,3423,1,1.323,1,6825,25
9,1.211,453279,1,1.279,1,35,1
10,0.516,160391,1,1.337,1,8192,1
11,1.888,129023,1,1.278,1,8192,175
12,2.001,146090,1,1.701,1,8192,1
13,0.633,165008,1,1.429,1,7028,1
14,1.789,63102,1,1.307,1,3342,1
15,0.669,524288,1,1.45,1,8192,1
16,1.218,524288,1,1.414,100,8192,1
17,0.699,524288,1,1.441,1,8192,1
18,0.716,524288,1,1.452,1,147,1
19,0.819,524288,1,1.482,1,8192,27
20,0.687,524288,1,1.434,1,8192,1
21,1.194,524288,1,1.477,1,4,2048
22,0.951,524288,1,1.442,1,4,1
23,4.001,524288,1,2.0,100,8192,2048
24,0.661,194968,1,1.461,1,8192,1
25,0.622,194131,1,1.457,1,8192,1
26,0.656,223007,1,1.439,1,594,1
27,3.635,524288,0,1.25,1,8192,1
28,0.667,215855,1,1.428,1,801,1
29,1.857,524288,1,1.38,1,8192,1
30,0.648,224071,1,1.489,1,417,1
31,2.061,159542,1,1.492,1,8192,1
32,0.863,524288,1,1.25,100,4,2048
33,1.283,524288,1,1.25,100,4,1
34,1.545,524288,1,1.404,100,4,2048
35,1.051,524288,1,1.25,1,4,2048
36,0.871,524288,1,1.424,1,4,1
37,3.53,524288,1,1.25,100,8192,2048
38,0.707,524288,1,1.439,1,137,7
39,0.692,524288,1,1.458,1,263,1
40,1.866,524288,1,1.346,1,4,40
41,0.672,524288,1,1.482,1,402,1
42,0.699,524288,1,1.48,1,408,1
43,0.679,524288,1,1.478,1,412,1
44,0.719,524288,1,1.477,1,416,1
45,0.678,524288,1,1.475,1,418,1
46,0.933,10791,1,1.25,1,4,2048
47,0.91,52604,1,1.25,1,4,2048
48,1.563,1000,1,1.25,1,4,2048
49,0.942,20071,1,1.25,100,4,2048
50,2.214,524288,1,1.497,1,444,10
51,1.801,524288,1,1.365,1,416,1
52,1.26,524288,1,1.997,1,4,1
53,2.292,524288,1,1.652,1,4,1
54,3.894,1000,1,2.0,100,4,1
55,0.93,524288,1,2.0,1,8192,1
56,1.2,524288,1,2.0,100,8192,1
57,0.948,524288,1,2.0,1,8192,1
58,2.11,37319,1,1.362,1,4,2048
59,1.015,524288,1,1.423,100,4,1
60,8.0,1000,0,1.25,1,4,2048
61,0.793,524288,1,1.25,100,4,95
62,2.599,1000,1,1.25,100,4,2048
63,1.817,524288,1,2.0,100,4,1
64,1.008,524288,1,1.25,1,4,2048
65,4.131,524288,1,1.556,100,8192,1
66,0.872,11126,1,2.0,1,8192,1
67,0.937,524288,1,2.0,1,557,1
68,3.979,524288,1,1.862,1,8192,1
69,1.896,6891,1,1.461,100,4,1
70,4.097,1000,1,1.716,100,4,1
71,2.443,185450,1,1.44,1,8192,2048
72,4.741,524288,0,1.432,1,8192,1
73,0.555,86687,1,1.25,1,4,28
74,0.644,149051,1,1.451,1,155,1
75,2.569,524288,1,1.691,100,4,2048
76,0.541,93230,1,1.25,1,4,30
77,0.55,99878,1,1.25,1,4,40
78,1.275,195295,1,1.466,1,4,1
79,0.686,524288,1,1.45,1,693,1
80,2.308,1000,1,1.43,1,8192,1
81,0.559,105845,1,1.25,1,4,48
82,1.1,54762,1,1.25,1,4,1
83,0.619,524288,1,1.25,1,4,23
84,0.655,269940,1,1.45,1,728,1
85,0.858,524288,1,1.454,100,165,1
86,0.588,107491,1,1.25,1,4,102
87,0.667,253966,1,1.451,1,798,1
88,0.587,111593,1,1.25,1,4,98
89,0.924,524288,1,1.455,100,4,59
90,1.18,117640,1,1.269,1,4,102
91,0.55,524288,1,1.25,1,8192,1
92,0.569,524288,1,1.25,1,8192,1
