configuration,prec,dim,size,density,tol,upsampfac,complexity,cpu_time_ns,real_time_ns,time_unit
16000x1x1-precf-thread1-M1e+07,f,1,16000,625.0,0.01,1.25,80000000.0,154742116.25,155199245.87351853,ns
16000x1x1-precf-thread1-M1e+07,f,1,16000,625.0,0.01,1.3,80000000.0,165326674.0,165809743.25006536,ns
16000x1x1-precf-thread1-M1e+07,f,1,16000,625.0,0.01,1.35,80000000.0,165856726.75000006,166343635.87581903,ns
16000x1x1-precf-thread1-M1e+07,f,1,16000,625.0,0.01,1.4,80000000.0,165355058.74999988,165830951.6242298,ns
16000x1x1-precf-thread1-M1e+07,f,1,16000,625.0,0.01,1.45,80000000.0,165584569.375,166052973.99837583,ns
16000x1x1-precf-thread1-M1e+07,f,1,16000,625.0,0.01,1.5,80000000.0,166132676.49999997,166610928.6252322,ns
16000x1x1-precf-thread1-M1e+07,f,1,16000,625.0,0.01,1.55,80000000.0,165067343.99999988,165536221.0003659,ns
16000x1x1-precf-thread1-M1e+07,f,1,16000,625.0,0.01,1.6,80000000.0,165126903.50000003,165611640.99948657,ns
16000x1x1-precf-thread1-M1e+07,f,1,16000,625.0,0.01,1.65,80000000.0,164913247.3749999,165399378.12558493,ns
16000x1x1-precf-thread1-M1e+07,f,1,16000,625.0,0.01,1.7,80000000.0,165027076.12499988,165509085.99856484,ns
16000x1x1-precf-thread1-M1e+07,f,1,16000,625.0,0.01,1.75,80000000.0,165135626.62500015,165616709.62619245,ns
16000x1x1-precf-thread1-M1e+07,f,1,16000,625.0,0.01,1.8,80000000.0,165544856.24999994,166014161.62484384,ns
16000x1x1-precf-thread1-M1e+07,f,1,16000,625.0,0.01,1.85,80000000.0,166010134.125,166487419.75041047,ns
16000x1x1-precf-thread1-M1e+07,f,1,16000,625.0,0.01,1.9,80000000.0,165745051.50000006,166219711.8748736,ns
16000x1x1-precf-thread1-M1e+07,f,1,16000,625.0,0.01,1.9500000000000002,80000000.0,165518105.25000033,165988772.37629494,ns
16000x1x1-precf-thread1-M1e+07,f,1,16000,625.0,0.01,2.0,80000000.0,165259688.74999997,165723853.37531158,ns
16000x1x1-precf-thread1-M1e+07,f,1,16000,625.0,0.001,1.25,160000000.0,176638830.00000003,177109933.62561566,ns
16000x1x1-precf-thread1-M1e+07,f,1,16000,625.0,0.001,1.3,160000000.0,172010654.75,172478170.37423375,ns
16000x1x1-precf-thread1-M1e+07,f,1,16000,625.0,0.001,1.35,160000000.0,172429955.74999985,172877422.99959064,ns
16000x1x1-precf-thread1-M1e+07,f,1,16000,625.0,0.001,1.4,160000000.0,171385159.625,171844256.99997517,ns
16000x1x1-precf-thread1-M1e+07,f,1,16000,625.0,0.001,1.45,80000000.0,153595561.37499997,154022027.62379602,ns
16000x1x1-precf-thread1-M1e+07,f,1,16000,625.0,0.001,1.5,80000000.0,153445669.12500012,153860355.12347007,ns
16000x1x1-precf-thread1-M1e+07,f,1,16000,625.0,0.001,1.55,80000000.0,153452410.12499988,153871034.3738785,ns
16000x1x1-precf-thread1-M1e+07,f,1,16000,625.0,0.001,1.6,80000000.0,153631248.37499997,154049962.749923,ns
16000x1x1-precf-thread1-M1e+07,f,1,16000,625.0,0.001,1.65,80000000.0,152898825.2500001,153329625.62388274,ns
16000x1x1-precf-thread1-M1e+07,f,1,16000,625.0,0.001,1.7,80000000.0,153541999.87499982,153959518.7514351,ns
16000x1x1-precf-thread1-M1e+07,f,1,16000,625.0,0.001,1.75,80000000.0,152959787.62499994,153413644.62619823,ns
16000x1x1-precf-thread1-M1e+07,f,1,16000,625.0,0.001,1.8,80000000.0,152519291.87500003,152950671.9998608,ns
16000x1x1-precf-thread1-M1e+07,f,1,16000,625.0,0.001,1.85,80000000.0,152766574.49999976,153187981.00088316,ns
16000x1x1-precf-thread1-M1e+07,f,1,16000,625.0,0.001,1.9,80000000.0,153643232.37500033,154070644.87590104,ns
16000x1x1-precf-thread1-M1e+07,f,1,16000,625.0,0.001,1.9500000000000002,80000000.0,153366366.50000024,153783445.7503777,ns
16000x1x1-precf-thread1-M1e+07,f,1,16000,625.0,0.001,2.0,80000000.0,153259404.0000004,153692045.50006545,ns
