dim,density,nthreads,max_sp,M,N_total,rep,spread_s,cycles_total,gather_pct,spread_pct,add_pct,other_pct,gather_cycles,spread_cycles,add_cycles,gather_ms,spread_ms,add_ms
1,0.125,1,10000,44739242,357913936,0,1.71,47172712332,4.86,2.26,4.46,88.14,2.2926e+09,1.0661e+09,2.1039e+09,717.67,333.73,658.6
1,0.125,1,53720,44739242,357913936,0,1.83,47461459874,4.9,2.32,4.7,87.65,2.3256e+09,1.1011e+09,2.2307e+09,752.27,356.17,721.56
1,0.125,1,288586,44739242,357913936,0,1.91,47260702748,5.06,2.6,4.85,87.28,2.3914e+09,1.2288e+09,2.2921e+09,772.55,396.96,740.49
1,0.125,1,1550291,44739242,357913936,0,2.47,48377303106,4.93,3.99,5.87,84.79,2.3850e+09,1.9303e+09,2.8397e+09,823.33,666.35,980.32
1,0.125,1,8328195,44739242,357913936,0,2.82,50244889455,4.75,3.99,5.75,85.12,2.3866e+09,2.0048e+09,2.8891e+09,924.43,776.52,1119.05
1,0.125,1,44739242,44739242,357913936,0,3.43,52084084504,4.7,3.77,5.69,85.49,2.4480e+09,1.9636e+09,2.9636e+09,1138.49,913.21,1378.3
1,0.125,8,10000,44739242,357913936,0,0.925,78901766298,3.69,1.7,3.02,91.07,2.9115e+09,1.3413e+09,2.3828e+09,405.86,186.98,332.16
1,0.125,8,35442,44739242,357913936,0,0.768,74424199816,3.67,1.47,3.32,91.06,2.7314e+09,1.0940e+09,2.4709e+09,333.16,133.45,301.39
1,0.125,8,125614,44739242,357913936,0,0.852,72274570294,4.21,2.33,4.07,88.85,3.0428e+09,1.6840e+09,2.9416e+09,338.07,187.1,326.83
1,0.125,8,445204,44739242,357913936,0,0.989,66596912278,4.52,3.28,4.88,86.84,3.0102e+09,2.1844e+09,3.2499e+09,352.55,255.83,380.62
1,0.125,8,1577898,44739242,357913936,0,1.07,66916634734,4.6,3.37,4.85,86.67,3.0782e+09,2.2551e+09,3.2455e+09,383.93,281.27,404.8
1,0.125,8,5592405,44739242,357913936,0,1.27,69666466308,4.69,3.49,4.56,86.61,3.2674e+09,2.4314e+09,3.1768e+09,467.53,347.9,454.57
1,0.125,all,10000,44739242,357913936,0,0.212,252035899376,2.37,0.62,5.21,91.18,5.9733e+09,1.5626e+09,1.3131e+10,61.27,16.03,134.7
1,0.125,all,23383,44739242,357913936,0,0.263,250558190899,2.98,1.73,6.84,87.78,7.4666e+09,4.3347e+09,1.7138e+10,67.86,39.39,155.75
1,0.125,all,54677,44739242,357913936,0,0.279,270809266933,4.03,2.48,8.51,84.33,1.0914e+10,6.7161e+09,2.3046e+10,74.86,46.07,158.08
1,0.125,all,127851,44739242,357913936,0,0.304,280182328981,2.11,1.33,4.32,91.67,5.9118e+09,3.7264e+09,1.2104e+10,82.66,52.1,169.24
1,0.125,all,298956,44739242,357913936,0,0.337,261115947895,2.2,1.33,4.09,91.84,5.7446e+09,3.4728e+09,1.0680e+10,97.3,58.82,180.88
1,0.125,all,699051,44739242,357913936,0,0.351,282879288373,3.85,2.02,6.07,87.44,1.0891e+10,5.7142e+09,1.7171e+10,113.18,59.38,178.44
