dim,prec,M,N_total,N_per_dim,tol,max_sp,subprob,npts,size1,size2,size3,cells,off1,off2,off3
2,d,10000000,9998244,3162,1e-06,2500,0,2500,629,11,1,6919,-3,-3,0
2,d,10000000,9998244,3162,1e-06,2500,1,2500,642,11,1,7062,605,-3,0
2,d,10000000,9998244,3162,1e-06,2500,2,2500,648,11,1,7128,1229,-3,0
2,d,10000000,9998244,3162,1e-06,2500,3,2500,631,11,1,6941,1854,-3,0
2,d,10000000,9998244,3162,1e-06,2500,4,2500,640,11,1,7040,2469,-3,0
2,d,10000000,9998244,3162,1e-06,2500,5,2500,3169,15,1,47535,-2,-3,0
2,d,10000000,9998244,3162,1e-06,2500,6,2500,662,11,1,7282,542,1,0
2,d,10000000,9998244,3162,1e-06,2500,7,2500,648,11,1,7128,1181,1,0
2,d,10000000,9998244,3162,1e-06,2500,8,2500,663,11,1,7293,1806,1,0
2,d,10000000,9998244,3162,1e-06,2500,9,2500,630,11,1,6930,2446,1,0
2,d,10000000,9998244,3162,1e-06,2500,10,2500,3170,15,1,47550,-3,1,0
2,d,10000000,9998244,3162,1e-06,2500,11,2500,648,11,1,7128,525,5,0
2,d,10000000,9998244,3162,1e-06,2500,12,2500,631,11,1,6941,1149,5,0
2,d,10000000,9998244,3162,1e-06,2500,13,2500,680,11,1,7480,1757,5,0
2,d,10000000,9998244,3162,1e-06,2500,14,2500,647,11,1,7117,2414,5,0
2,d,10000000,9998244,3162,1e-06,2500,15,2500,3170,15,1,47550,-3,5,0
2,d,10000000,9998244,3162,1e-06,2500,16,2500,648,11,1,7128,509,9,0
2,d,10000000,9998244,3162,1e-06,2500,17,2500,663,11,1,7293,1134,9,0
2,d,10000000,9998244,3162,1e-06,2500,18,2500,632,11,1,6952,1773,9,0
2,d,10000000,9998244,3162,1e-06,2500,19,2500,664,11,1,7304,2381,9,0
2,d,10000000,9998244,3162,1e-06,2500,20,2500,3170,15,1,47550,-3,9,0
2,d,10000000,9998244,3162,1e-06,2500,21,2500,632,11,1,6952,509,13,0
2,d,10000000,9998244,3162,1e-06,2500,22,2500,632,11,1,6952,1117,13,0
2,d,10000000,9998244,3162,1e-06,2500,23,2500,657,11,1,7227,1725,13,0
2,d,10000000,9998244,3162,1e-06,2500,24,2500,647,11,1,7117,2365,13,0
2,d,10000000,9998244,3162,1e-06,2500,25,2500,3170,15,1,47550,-3,13,0
2,d,10000000,9998244,3162,1e-06,2500,26,2500,643,11,1,7073,431,17,0
2,d,10000000,9998244,3162,1e-06,2500,27,2500,647,11,1,7117,1054,17,0
2,d,10000000,9998244,3162,1e-06,2500,28,2500,662,11,1,7282,1677,17,0
2,d,10000000,9998244,3162,1e-06,2500,29,2500,648,11,1,7128,2317,17,0
2,d,10000000,9998244,3162,1e-06,2500,30,2500,3170,15,1,47550,-3,17,0
2,d,10000000,9998244,3162,1e-06,2500,31,2500,647,11,1,7117,414,21,0
2,d,10000000,9998244,3162,1e-06,2500,32,2500,647,11,1,7117,1038,21,0
2,d,10000000,9998244,3162,1e-06,2500,33,2500,647,11,1,7117,1661,21,0
2,d,10000000,9998244,3162,1e-06,2500,34,2500,632,11,1,6952,2285,21,0
2,d,10000000,9998244,3162,1e-06,2500,35,2500,3170,15,1,47550,-3,21,0
2,d,10000000,9998244,3162,1e-06,2500,36,2500,631,11,1,6941,381,25,0
2,d,10000000,9998244,3162,1e-06,2500,37,2500,631,11,1,6941,990,25,0
2,d,10000000,9998244,3162,1e-06,2500,38,2500,648,11,1,7128,1597,25,0
2,d,10000000,9998244,3162,1e-06,2500,39,2500,631,11,1,6941,2221,25,0
2,d,10000000,9998244,3162,1e-06,2500,40,2500,3170,15,1,47550,-3,25,0
2,d,10000000,9998244,3162,1e-06,2500,41,2500,632,11,1,6952,301,29,0
2,d,10000000,9998244,3162,1e-06,2500,42,2500,646,11,1,7106,910,29,0
2,d,10000000,9998244,3162,1e-06,2500,43,2500,648,11,1,7128,1533,29,0
2,d,10000000,9998244,3162,1e-06,2500,44,2500,661,11,1,7271,2160,29,0
2,d,10000000,9998244,3162,1e-06,2500,45,2500,3170,15,1,47550,-3,29,0
2,d,10000000,9998244,3162,1e-06,2500,46,2500,650,11,1,7150,253,33,0
2,d,10000000,9998244,3162,1e-06,2500,47,2500,616,11,1,6776,893,33,0
2,d,10000000,9998244,3162,1e-06,2500,48,2500,655,11,1,7205,1494,33,0
2,d,10000000,9998244,3162,1e-06,2500,49,2500,648,11,1,7128,2125,33,0
2,d,10000000,9998244,3162,1e-06,2500,50,2500,3170,15,1,47550,-3,33,0
2,d,10000000,9998244,3162,1e-06,2500,51,2500,648,11,1,7128,221,37,0
2,d,10000000,9998244,3162,1e-06,2500,52,2500,644,11,1,7084,845,37,0
2,d,10000000,9998244,3162,1e-06,2500,53,2500,647,11,1,7117,1469,37,0
2,d,10000000,9998244,3162,1e-06,2500,54,2500,648,11,1,7128,2093,37,0
2,d,10000000,9998244,3162,1e-06,2500,55,2500,3168,15,1,47520,-2,37,0
2,d,10000000,9998244,3162,1e-06,2500,56,2500,640,11,1,7040,189,41,0
2,d,10000000,9998244,3162,1e-06,2500,57,2500,648,11,1,7128,813,41,0
2,d,10000000,9998244,3162,1e-06,2500,58,2500,648,11,1,7128,1437,41,0
2,d,10000000,9998244,3162,1e-06,2500,59,2500,648,11,1,7128,2061,41,0
2,d,10000000,9998244,3162,1e-06,2500,60,2500,3170,15,1,47550,-3,41,0
2,d,10000000,9998244,3162,1e-06,2500,61,2500,631,11,1,6941,142,45,0
2,d,10000000,9998244,3162,1e-06,2500,62,2500,631,11,1,6941,750,45,0
2,d,10000000,9998244,3162,1e-06,2500,63,2500,664,11,1,7304,1357,45,0
2,d,10000000,9998244,3162,1e-06,2500,64,2500,647,11,1,7117,1998,45,0
2,d,10000000,9998244,3162,1e-06,2500,65,2500,3170,15,1,47550,-3,45,0
2,d,10000000,9998244,3162,1e-06,2500,66,2500,631,11,1,6941,93,49,0
2,d,10000000,9998244,3162,1e-06,2500,67,2500,631,11,1,6941,702,49,0
2,d,10000000,9998244,3162,1e-06,2500,68,2500,678,11,1,7458,1311,49,0
2,d,10000000,9998244,3162,1e-06,2500,69,2500,646,11,1,7106,1965,49,0
2,d,10000000,9998244,3162,1e-06,2500,70,2500,3170,15,1,47550,-3,49,0
2,d,10000000,9998244,3162,1e-06,2500,71,2500,664,11,1,7304,45,53,0
2,d,10000000,9998244,3162,1e-06,2500,72,2500,647,11,1,7117,686,53,0
2,d,10000000,9998244,3162,1e-06,2500,73,2500,663,11,1,7293,1309,53,0
2,d,10000000,9998244,3162,1e-06,2500,74,2500,631,11,1,6941,1949,53,0
2,d,10000000,9998244,3162,1e-06,2500,75,2500,3169,15,1,47535,-3,53,0
2,d,10000000,9998244,3162,1e-06,2500,76,2500,647,11,1,7117,29,57,0
2,d,10000000,9998244,3162,1e-06,2500,77,2500,647,11,1,7117,654,57,0
2,d,10000000,9998244,3162,1e-06,2500,78,2500,663,11,1,7293,1278,57,0
2,d,10000000,9998244,3162,1e-06,2500,79,2500,647,11,1,7117,1918,57,0
2,d,10000000,9998244,3162,1e-06,2500,80,2500,3170,15,1,47550,-3,57,0
2,d,10000000,9998244,3162,1e-06,2500,81,2500,662,11,1,7282,-2,61,0
2,d,10000000,9998244,3162,1e-06,2500,82,2500,631,11,1,6941,637,61,0
2,d,10000000,9998244,3162,1e-06,2500,83,2500,663,11,1,7293,1245,61,0
2,d,10000000,9998244,3162,1e-06,2500,84,2500,648,11,1,7128,1885,61,0
2,d,10000000,9998244,3162,1e-06,2500,85,2500,654,11,1,7194,2509,61,0
2,d,10000000,9998244,3162,1e-06,2500,86,2500,3170,15,1,47550,-3,61,0
2,d,10000000,9998244,3162,1e-06,2500,87,2500,648,11,1,7128,605,65,0
2,d,10000000,9998244,3162,1e-06,2500,88,2500,648,11,1,7128,1229,65,0
2,d,10000000,9998244,3162,1e-06,2500,89,2500,631,11,1,6941,1870,65,0
2,d,10000000,9998244,3162,1e-06,2500,90,2500,648,11,1,7128,2477,65,0
2,d,10000000,9998244,3162,1e-06,2500,91,2500,3170,15,1,47550,-3,65,0
2,d,10000000,9998244,3162,1e-06,2500,92,2500,645,11,1,7095,575,69,0
2,d,10000000,9998244,3162,1e-06,2500,93,2500,661,11,1,7271,1198,69,0
2,d,10000000,9998244,3162,1e-06,2500,94,2500,663,11,1,7293,1837,69,0
2,d,10000000,9998244,3162,1e-06,2500,95,2500,632,11,1,6952,2477,69,0
2,d,10000000,9998244,3162,1e-06,2500,96,2500,3170,15,1,47550,-3,69,0
2,d,10000000,9998244,3162,1e-06,2500,97,2500,646,11,1,7106,527,73,0
2,d,10000000,9998244,3162,1e-06,2500,98,2500,659,11,1,7249,1152,73,0
2,d,10000000,9998244,3162,1e-06,2500,99,2500,658,11,1,7238,1789,73,0
2,d,10000000,9998244,3162,1e-06,2500,100,2500,616,11,1,6776,2429,73,0
2,d,10000000,9998244,3162,1e-06,2500,101,2500,3170,15,1,47550,-3,73,0
2,d,10000000,9998244,3162,1e-06,2500,102,2500,647,11,1,7117,493,77,0
2,d,10000000,9998244,3162,1e-06,2500,103,2500,631,11,1,6941,1118,77,0
2,d,10000000,9998244,3162,1e-06,2500,104,2500,648,11,1,7128,1725,77,0
2,d,10000000,9998244,3162,1e-06,2500,105,2500,664,11,1,7304,2349,77,0
2,d,10000000,9998244,3162,1e-06,2500,106,2500,3170,15,1,47550,-3,77,0
2,d,10000000,9998244,3162,1e-06,2500,107,2500,658,11,1,7238,463,81,0
2,d,10000000,9998244,3162,1e-06,2500,108,2500,630,11,1,6930,1102,81,0
2,d,10000000,9998244,3162,1e-06,2500,109,2500,661,11,1,7271,1711,81,0
2,d,10000000,9998244,3162,1e-06,2500,110,2500,648,11,1,7128,2349,81,0
2,d,10000000,9998244,3162,1e-06,2500,111,2500,3170,15,1,47550,-3,81,0
2,d,10000000,9998244,3162,1e-06,2500,112,2500,647,11,1,7117,430,85,0
2,d,10000000,9998244,3162,1e-06,2500,113,2500,646,11,1,7106,1055,85,0
2,d,10000000,9998244,3162,1e-06,2500,114,2500,632,11,1,6952,1677,85,0
